date,value
2015-11-18,1270722.9836999984
2015-11-19,1278066.7357999985
2015-11-20,1278813.5307999984
2015-11-24,1280694.5979999984
2015-11-25,1277654.9120999984
2015-11-26,1280548.8481999985
2015-11-27,1278271.7328999983
2015-11-30,1272480.3999999983
2015-12-01,1280822.6857999982
2015-12-02,1278099.7791999984
2015-12-03,1277632.2879999983
2015-12-04,1265401.6734999984
2015-12-07,1271358.5708999983
2015-12-08,1264636.6087999984
2015-12-09,1258434.0067999985
2015-12-10,1251032.4119999984
2015-12-11,1255670.4086999984
2015-12-14,1245761.0600999983
2015-12-15,1235306.0764999983
2015-12-16,1249427.9204999984
2015-12-17,1259401.8230999983
2015-12-18,1247083.980299998
2015-12-21,1245213.765399998
2015-12-22,1245281.1084999982
2015-12-24,1242354.6983999982
2015-12-25,1240199.462799998
2015-12-28,1246866.8068999983
2015-12-29,1250414.4593999982
2015-12-30,1251943.316099998
2016-01-04,1234707.766199998
2016-01-05,1232908.4767999982
2016-01-06,1226773.0840999982
2016-01-07,1213005.6930999984
2016-01-08,1210491.3996999983
2016-01-12,1193558.6068999984
2016-01-13,1209907.7101999985
2016-01-14,1195483.1656999984
2016-01-15,1193074.9887999983
2016-01-18,1187897.8876999984
2016-01-19,1190929.3825999985
2016-01-20,1169973.3504999983
2016-01-21,1157095.9662999983
2016-01-22,1186835.3160999983
2016-01-25,1192151.5527999983
2016-01-26,1179076.6743999983
2016-01-27,1193553.1032999982
2016-01-28,1189224.4559999984
2016-01-29,1204829.8704999983
2016-02-01,1213367.4271999984
2016-02-02,1207666.1834999984
2016-02-03,1189873.8254999984
2016-02-04,1185380.6283999984
2016-02-05,1177858.6808999982
2016-02-08,1182483.4448999981
2016-02-09,1154124.703599998
2016-02-10,1140273.069099998
2016-02-12,1116236.0595999982
2016-02-15,1151333.4842999983
2016-02-16,1150536.9860999982
2016-02-17,1142409.5592999982
2016-02-18,1154449.998699998
2016-02-19,1148062.3472999982
2016-02-22,1152471.9845999982
2016-02-23,1151141.083899998
2016-02-24,1146960.9485999981
2016-02-25,1155362.372599998
2016-02-26,1156060.679099998
2016-02-29,1149302.986599998
2016-03-01,1150717.0081999982
2016-03-02,1170585.3307999982
2016-03-03,1177785.9787999983
2016-03-04,1181350.9674999984
2016-03-07,1178568.1640999983
2016-03-08,1173503.9416999982
2016-03-09,1166305.7152999984
2016-03-10,1173580.5594999983
2016-03-11,1176533.5874999983
2016-03-14,1186098.6885999984
2016-03-15,1181912.0954999984
2016-03-16,1177824.5573999984
2016-03-17,1176193.2313999983
2016-03-18,1171091.9620999983
2016-03-22,1180857.9844999984
2016-03-23,1179549.5460999983
2016-03-24,1175189.1675999984
2016-03-25,1179321.3479999984
2016-03-28,1184680.0480999984
2016-03-29,1187405.5577999982
2016-03-30,1178700.7644999982
2016-03-31,1175534.6617999983
2016-04-01,1155654.7499999981
2016-04-04,1155599.403399998
2016-04-05,1141295.0832999982
2016-04-06,1140789.6106999982
2016-04-07,1141076.0912999983
2016-04-08,1144683.0573999984
2016-04-11,1143506.6358999982
2016-04-12,1150497.9323999984
2016-04-13,1164039.6588999983
2016-04-14,1181550.7681999984
2016-04-15,1179128.1140999985
2016-04-18,1162366.0246999986
2016-04-19,1181195.6745999984
2016-04-20,1181991.6501999984
2016-04-21,1194753.4613999985
2016-04-22,1200771.1682999984
2016-04-25,1197589.1145999983
2016-04-26,1193667.9637999984
2016-04-27,1192076.3728999984
2016-04-28,1172314.0680999984
2016-05-02,1154820.1939999983
2016-05-06,1153286.1049999981
2016-05-09,1156910.4467999982
2016-05-10,1166748.1734999982
2016-05-11,1166442.198499998
2016-05-12,1170513.076799998
2016-05-13,1163468.502599998
2016-05-16,1164662.137399998
2016-05-17,1171584.004499998
2016-05-18,1172992.150699998
2016-05-19,1172612.614399998
2016-05-20,1175227.2265999978
2016-05-23,1172836.4036999978
2016-05-24,1167278.0506999977
2016-05-25,1175085.0242999978
2016-05-26,1176483.3746999977
2016-05-27,1179084.6698999978
2016-05-30,1186023.2820999979
2016-05-31,1191339.606499998
2016-06-01,1182117.723899998
2016-06-02,1169230.8433999978
2016-06-03,1171907.4583999978
2016-06-06,1170165.9898999978
2016-06-07,1174382.1219999976
2016-06-08,1179374.3670999976
2016-06-09,1174051.8915999974
2016-06-10,1171049.7156999975
2016-06-13,1152462.0765999975
2016-06-14,1147927.6019999976
2016-06-15,1149824.9867999975
2016-06-16,1134642.8824999975
2016-06-17,1138987.3025999975
2016-06-20,1151803.0827999976
2016-06-21,1156672.6040999976
2016-06-22,1152041.1800999974
2016-06-23,1158694.2288999974
2016-06-24,1118823.2701999974
2016-06-27,1128347.0556999973
2016-06-28,1128715.7063999975
2016-06-29,1137098.2691999974
2016-06-30,1137938.5839999975
2016-07-01,1140774.4698999976
2016-07-04,1143818.4924999976
2016-07-05,1141248.1661999975
2016-07-06,1132427.2409999976
2016-07-07,1129975.8069999977
2016-07-08,1124199.3730999976
2016-07-11,1143856.3403999978
2016-07-12,1154860.5301999978
2016-07-13,1159746.1278999976
2016-07-14,1164693.5063999975
2016-07-15,1169179.0105999976
2016-07-19,1177952.7677999977
2016-07-20,1176402.5651999977
2016-07-21,1180743.1852999977
2016-07-22,1174583.6001999974
2016-07-25,1174742.4048999976
2016-07-26,1166153.0319999976
2016-07-27,1175132.7154999976
2016-07-28,1169132.1209999975
2016-07-29,1172979.3832999975
2016-08-01,1170176.7121999974
2016-08-02,1161310.1919999975
2016-08-03,1148760.7680999977
2016-08-04,1155741.4721999976
2016-08-05,1153885.8269999977
2016-08-08,1166906.0928999977
2016-08-09,1169539.3857999977
2016-08-10,1168252.8599999978
2016-08-12,1173308.0688999977
2016-08-15,1169726.5020999978
2016-08-16,1161998.0274999978
2016-08-17,1166803.6479999977
2016-08-18,1160081.1492999978
2016-08-19,1163350.1311999978
2016-08-22,1165849.9434999977
2016-08-23,1162094.5961999977
2016-08-24,1165561.5232999977
2016-08-25,1164163.0084999977
2016-08-26,1158453.6657999975
2016-08-29,1169920.7776999976
2016-08-30,1169878.7722999975
2016-08-31,1176711.2828999977
2016-09-01,1177342.3863999976
2016-09-02,1177946.3761999975
2016-09-05,1182118.3730999976
2016-09-06,1184293.6975999977
2016-09-07,1181555.6657999977
2016-09-08,1180069.4885999977
2016-09-09,1180746.1289999979
2016-09-12,1171851.2020999978
2016-09-13,1172753.188699998
2016-09-14,1169972.1633999979
2016-09-15,1164074.369599998
2016-09-16,1168259.113199998
2016-09-20,1167376.356399998
2016-09-21,1178747.208599998
2016-09-23,1176826.394799998
2016-09-26,1169532.868999998
2016-09-27,1174736.7266999981
2016-09-28,1171268.712599998
2016-09-29,1178427.048299998
2016-09-30,1170489.9315999981
2016-10-03,1172729.4587999978
2016-10-04,1177099.0472999979
2016-10-05,1179786.331699998
2016-10-06,1182979.0405999979
2016-10-07,1182685.380199998
2016-10-11,1186272.7685999977
2016-10-12,1180588.317299998
2016-10-13,1178854.5826999978
2016-10-14,1180681.9552999977
2016-10-17,1182638.1367999977
2016-10-18,1185305.0442999976
2016-10-19,1186140.7771999976
2016-10-20,1193600.0719999974
2016-10-21,1192599.5698999974
2016-10-24,1194415.5838999974
2016-10-25,1198512.6211999974
2016-10-26,1199735.0513999974
2016-10-27,1199171.2395999974
2016-10-28,1202577.9597999973
2016-10-31,1202468.7832999974
2016-11-01,1203335.3688999973
2016-11-02,1193874.4026999974
2016-11-04,1187843.7641999973
2016-11-07,1196241.7217999971
2016-11-08,1195168.4967999973
2016-11-09,1166821.6237999971
